Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Puerto Rico,Americas,101937,3563.17,1202,42.02,120,2066,72.22,26,0.91,1,Community transmission
Republic of Korea,Western Pacific,93733,182.83,2918,5.69,470,1648,3.21,36,0.07,3,Clusters of cases
Latvia,Europe,90525,4799.34,4067,215.62,194,1699,90.08,78,4.14,4,Community transmission
Kyrgyzstan,Europe,86606,1327.46,298,4.57,23,1475,22.61,8,0.12,2,Clusters of cases
Ghana,Africa,86465,278.26,2442,7.86,0,647,2.08,40,0.13,0,Community transmission
Sri Lanka,South-East Asia,86343,403.22,2473,11.55,304,511,2.39,28,0.13,4,Clusters of cases
Zambia,Africa,82655,449.6,3653,19.87,234,1132,6.16,34,0.18,8,Community transmission
Uzbekistan,Europe,80247,239.76,286,0.85,28,622,1.86,0,0,0,Clusters of cases
Montenegro,Europe,80186,12767.13,2687,427.82,0,1067,169.89,44,7.01,0,Clusters of cases
Estonia,Europe,77491,5841.61,9752,735.15,1308,669,50.43,64,4.82,2,Clusters of cases
Norway,Europe,74940,1382.34,3938,72.64,1447,632,11.66,9,0.17,0,Community transmission
Kosovo[1],Europe,73592,3955.75,3912,210.28,587,1645,88.42,47,2.53,6,Community transmission
Uruguay,Americas,64700,1862.55,6111,175.92,863,658,18.94,47,1.35,7,Community transmission
Mozambique,Africa,62703,200.61,3096,9.91,183,698,2.23,45,0.14,5,Community transmission
Finland,Europe,62522,1128.41,3877,69.97,0,774,13.97,19,0.34,0,Community transmission
El Salvador,Americas,61539,948.77,1673,25.79,739,1923,29.65,54,0.83,8,Community transmission
Singapore,Western Pacific,60052,1026.47,96,1.64,6,29,0.5,0,0,0,Sporadic cases
Cuba,Americas,57607,508.6,6020,53.15,1041,352,3.11,24,0.21,2,Community transmission
Luxembourg,Europe,56677,9054.15,1197,191.22,31,663,105.91,24,3.83,1,Community transmission
Afghanistan,Eastern Mediterranean,55894,143.58,124,0.32,18,2451,6.3,5,0.01,0,Clusters of cases
Uganda,Africa,40485,88.51,118,0.26,21,334,0.73,0,0,0,Community transmission
Namibia,Africa,40187,1581.6,1154,45.42,157,439,17.28,11,0.43,1,Community transmission
Cameroon,Africa,38988,146.87,3274,12.33,0,588,2.22,37,0.14,0,Community transmission
Cyprus,Europe,37230,3083.59,2221,183.96,352,233,19.3,2,0.17,0,Clusters of cases
Zimbabwe,Africa,36289,244.16,174,1.17,18,1487,10,19,0.13,2,Community transmission
Senegal,Africa,35959,214.76,1227,7.33,102,925,5.52,45,0.27,6,Community transmission
Côte d’Ivoire,Africa,35331,133.94,2540,9.63,144,204,0.77,11,0.04,2,Community transmission
Malawi,Africa,32469,169.73,461,2.41,27,1070,5.59,26,0.14,1,Community transmission
Botswana,Africa,31658,1346.22,931,39.59,0,359,15.27,27,1.15,0,Community transmission
Sudan,Eastern Mediterranean,30686,69.98,207,0.47,0,1915,4.37,20,0.05,0,Community transmission
Australia,Western Pacific,29061,113.97,75,0.29,15,909,3.56,0,0,0,Clusters of cases
Jamaica,Americas,27465,927.51,3627,122.49,561,460,15.53,28,0.95,6,Community transmission
Democratic Republic of the Congo,Africa,26626,29.73,665,0.74,86,712,0.79,5,0.01,0,Community transmission
Thailand,South-East Asia,26540,38.02,432,0.62,39,85,0.12,1,0,0,Clusters of cases
Malta,Europe,24599,5571.14,1942,439.82,201,334,75.64,18,4.08,0,Clusters of cases
Angola,Africa,21108,64.22,254,0.77,22,515,1.57,7,0.02,1,Community transmission
Maldives,South-East Asia,21034,3891.27,890,164.65,115,64,11.84,2,0.37,0,Clusters of cases
Madagascar,Africa,20155,72.79,324,1.17,0,300,1.08,3,0.01,0,Community transmission
Rwanda,Africa,19659,151.78,673,5.2,150,268,2.07,4,0.03,1,Community transmission
French Polynesia,Western Pacific,18495,6584.01,66,23.5,13,141,50.19,1,0.36,0,Sporadic cases
Mayotte,Africa,18413,6749.26,813,298,98,129,47.28,19,6.96,1,Community transmission
Mauritania,Africa,17340,372.93,133,2.86,31,442,9.51,1,0.02,0,Community transmission
Eswatini,Africa,17188,1481.51,163,14.05,4,658,56.72,6,0.52,0,Community transmission
Guinea,Africa,16912,128.78,907,6.91,242,97,0.74,8,0.06,2,Community transmission
French Guiana,Americas,16693,5588.89,66,22.1,0,87,29.13,2,0.67,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,16117,92.09,421,2.41,75,1074,6.14,35,0.2,6,Community transmission
Gabon,Africa,16015,719.54,1166,52.39,390,91,4.09,4,0.18,1,Community transmission
Cabo Verde,Africa,15806,2842.87,374,67.27,24,154,27.7,7,1.26,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Réunion,Africa,13125,1465.97,709,79.19,0,59,6.59,7,0.78,0,Community transmission
Haiti,Americas,12594,110.45,63,0.55,58,251,2.2,1,0.01,0,Community transmission
Belize,Americas,12335,3102.15,22,5.53,0,315,79.22,1,0.25,0,Community transmission
Burkina Faso,Africa,12181,58.27,151,0.72,0,143,0.68,0,0,0,Community transmission
Andorra,Europe,11069,14326.02,180,232.96,27,112,144.96,2,2.59,0,Community transmission
Lesotho,Africa,10523,491.21,28,1.31,0,308,14.38,13,0.61,1,Community transmission
Guadeloupe,Americas,10458,2613.69,490,122.46,0,168,41.99,4,1,0,Community transmission
Congo,Africa,9179,166.34,359,6.51,0,131,2.37,3,0.05,0,Community transmission
Suriname,Americas,8980,1530.77,47,8.01,3,175,29.83,2,0.34,0,Clusters of cases
South Sudan,Africa,8870,79.24,860,7.68,104,102,0.91,9,0.08,0,Community transmission
Guyana,Americas,8814,1120.59,219,27.84,7,203,25.81,6,0.76,2,Clusters of cases
Bahamas,Americas,8642,2197.62,78,19.84,1,185,47.04,5,1.27,2,Clusters of cases
Mali,Africa,8613,42.53,223,1.1,33,358,1.77,3,0.01,0,Community transmission
Somalia,Eastern Mediterranean,8577,53.97,1059,6.66,139,319,2.01,70,0.44,12,Community transmission
Aruba,Americas,8127,7611.97,219,205.12,17,77,72.12,3,2.81,0,Community transmission
Trinidad and Tobago,Americas,7736,552.77,20,1.43,0,140,10,1,0.07,1,Community transmission
Togo,Africa,7598,91.78,665,8.03,28,92,1.11,7,0.08,0,Community transmission
Guam,Western Pacific,7543,4469.26,10,5.93,1,133,78.8,2,1.19,0,Clusters of cases
Martinique,Americas,6886,1834.97,140,37.31,0,47,12.52,2,0.53,0,Community transmission
Equatorial Guinea,Africa,6371,454.1,276,19.67,42,96,6.84,4,0.29,0,Community transmission
Benin,Africa,6338,52.28,704,5.81,267,81,0.67,11,0.09,6,Community transmission
Djibouti,Eastern Mediterranean,6181,625.61,92,9.31,24,63,6.38,0,0,0,Community transmission
Iceland,Europe,6064,1777.03,9,2.64,0,29,8.5,0,0,0,Community transmission
Nicaragua,Americas,5216,78.74,40,0.6,40,175,2.64,1,0.02,1,Community transmission
Central African Republic,Africa,5021,103.96,24,0.5,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4829,19.95,89,0.37,1,177,0.73,5,0.02,0,Community transmission
Curaçao,Americas,4813,2933.09,82,49.97,6,22,13.41,0,0,0,Community transmission
Gambia,Africa,4759,196.92,47,1.94,0,152,6.29,2,0.08,0,Community transmission
Gibraltar,Europe,4249,12611.68,10,29.68,2,93,276.04,0,0,0,Clusters of cases
Chad,Africa,4193,25.53,207,1.26,16,142,0.86,2,0.01,2,Community transmission
San Marino,Europe,3935,11594.67,189,556.9,0,76,223.94,2,5.89,0,Community transmission
Sierra Leone,Africa,3921,49.15,34,0.43,1,79,0.99,0,0,0,Community transmission
Saint Lucia,Americas,3902,2124.96,357,194.42,31,46,25.05,10,5.45,0,Community transmission
Comoros,Africa,3601,414.1,23,2.64,5,146,16.79,2,0.23,0,Community transmission
Mongolia,Western Pacific,3372,102.86,372,11.35,36,3,0.09,1,0.03,0,Clusters of cases
Barbados,Americas,3333,1159.81,218,75.86,48,37,12.88,1,0.35,0,Community transmission
Guinea-Bissau,Africa,3312,168.29,50,2.54,0,49,2.49,1,0.05,0,Community transmission
Jersey,Europe,3220,2959.56,3,2.76,0,69,63.42,0,0,0,Community transmission
Seychelles,Africa,2989,3039.24,371,377.24,10,14,14.24,3,3.05,0,Community transmission
Eritrea,Africa,2944,83.01,78,2.2,0,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2744,2627.72,74,70.86,30,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2670,7001.08,17,44.58,0,53,138.97,1,2.62,0,Sporadic cases
Yemen,Eastern Mediterranean,2590,8.68,244,0.82,41,655,2.2,14,0.05,1,Community transmission
Viet Nam,Western Pacific,2526,2.6,51,0.05,2,35,0.04,0,0,0,Clusters of cases
Burundi,Africa,2339,19.67,115,0.97,5,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2177,5622.71,63,162.72,0,15,38.74,1,2.58,0,Clusters of cases
Sint Maarten,Americas,2074,4836.53,14,32.65,4,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2054,42.59,27,0.56,1,26,0.54,0,0,0,Clusters of cases
Monaco,Europe,2028,5167.67,63,160.53,5,26,66.25,2,5.1,0,Sporadic cases
Liberia,Africa,2024,40.02,10,0.2,0,85,1.68,0,0,0,Community transmission
Sao Tome and Principe,Africa,1961,894.78,133,60.69,17,32,14.6,2,0.91,0,Community transmission
Papua New Guinea,Western Pacific,1741,19.46,376,4.2,71,21,0.23,5,0.06,5,Community transmission
Saint Vincent and the Grenadines,Americas,1663,1499.01,35,31.55,0,8,7.21,0,0,0,Community transmission
Saint Martin,Americas,1581,4089.6,27,69.84,0,12,31.04,0,0,0,Community transmission
Cambodia,Western Pacific,1124,6.72,246,1.47,64,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,868,112.49,1,0.13,0,1,0.13,0,0,0,Sporadic cases
Antigua and Barbuda,Americas,862,880.23,93,94.97,14,22,22.47,5,5.11,1,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Isle of Man,Europe,757,890.25,273,321.06,81,25,29.4,0,0,0,No cases
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,724,1162.62,11,17.66,2,12,19.27,0,0,0,Sporadic cases
Saint Barthélemy,Americas,671,6788.06,59,596.86,0,0,0,0,0,0,Clusters of cases
Faroe Islands,Europe,660,1350.66,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,641,50.4,22,1.73,2,10,0.79,0,0,0,Sporadic cases
Bonaire,Americas,538,2572.32,119,568.97,24,5,23.91,1,4.78,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,451,686.24,7,10.65,0,2,3.04,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,191,43.66,4,0.91,1,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,1,3.31,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,151,209.75,7,9.72,7,0,0,0,0,0,Clusters of cases
Grenada,Americas,151,134.19,3,2.67,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,146,253.66,2,3.47,0,2,3.47,0,0,0,Pending
Timor-Leste,South-East Asia,142,10.77,29,2.2,13,0,0,0,0,0,Clusters of cases
New Caledonia,Western Pacific,70,24.52,12,4.2,3,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,66,7.36,7,0.78,0,2,0.22,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,64,569.09,55,489.06,2,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,47,0.65,2,0.03,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,1,1.76,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,2,0.65,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
